date,time,예측된발전량(kW)
2023-05-20,20,0.0
2023-05-20,21,0.0
2023-05-20,22,0.0
2023-05-20,23,0.0
2023-05-21,0,0.0
2023-05-21,1,0.0
2023-05-21,2,0.0
2023-05-21,3,0.0
2023-05-21,4,0.0
2023-05-21,5,0.0
2023-05-21,6,778308.7
2023-05-21,7,0.0
2023-05-21,8,1139321.5
2023-05-21,9,1010386.75
2023-05-21,10,793210.5
2023-05-21,11,0.0
2023-05-21,12,0.0
2023-05-21,13,582619.1
2023-05-21,14,524285.44
2023-05-21,15,322712.03
2023-05-21,16,268522.5
2023-05-21,17,49180.438
2023-05-21,18,0.0
2023-05-21,19,0.0
2023-05-21,20,0.0
2023-05-21,21,0.0
2023-05-21,22,0.0
2023-05-21,23,0.0
2023-05-22,0,0.0
2023-05-22,1,0.0
2023-05-22,2,0.0
2023-05-22,3,0.0
2023-05-22,4,0.0
2023-05-22,5,0.0
2023-05-22,6,41285.777
2023-05-22,7,807183.75
2023-05-22,8,1018188.9
2023-05-22,9,932022.25
2023-05-22,10,803546.56
2023-05-22,11,785361.4
2023-05-22,12,773565.6
2023-05-22,13,658695.1
2023-05-22,14,496904.53
2023-05-22,15,295224.12
2023-05-22,16,0.0
2023-05-22,17,0.0
2023-05-22,18,0.0
2023-05-22,19,0.0
2023-05-22,20,0.0
2023-05-22,21,0.0
2023-05-22,22,0.0
2023-05-22,23,0.0
2023-05-23,0,0.0
2023-05-23,1,0.0
2023-05-23,2,0.0
2023-05-23,3,0.0
2023-05-23,4,0.0
2023-05-23,5,0.0
2023-05-23,6,984153.7
2023-05-23,7,1101769.8
2023-05-23,8,1148143.1
2023-05-23,9,961193.44
2023-05-23,10,795727.56
2023-05-23,11,580039.7
2023-05-23,12,460029.66
2023-05-23,13,405005.9
2023-05-23,14,328277.47
2023-05-23,15,223541.73
2023-05-23,16,0.0
2023-05-23,17,0.0
2023-05-23,18,0.0
2023-05-23,19,0.0
2023-05-23,20,0.0
2023-05-23,21,0.0
2023-05-23,22,0.0
2023-05-23,23,0.0
2023-05-24,0,0.0
2023-05-24,1,0.0
2023-05-24,2,0.0
2023-05-24,3,0.0
2023-05-24,4,0.0
2023-05-24,5,0.0
2023-05-24,6,1088476.9
2023-05-24,7,666124.4
2023-05-24,8,618906.7
2023-05-24,9,576593.06
2023-05-24,10,560342.8
2023-05-24,11,446703.6
2023-05-24,12,291977.88
2023-05-24,13,80963.61
2023-05-24,14,0.0
2023-05-24,15,0.0
2023-05-24,16,0.0
2023-05-24,17,0.0
2023-05-24,18,0.0
2023-05-24,19,0.0
2023-05-24,20,0.0
2023-05-24,21,0.0
2023-05-24,22,0.0
2023-05-24,23,0.0
2023-05-25,0,0.0
2023-05-25,1,0.0
2023-05-25,2,0.0
2023-05-25,3,0.0
2023-05-25,4,0.0
2023-05-25,5,0.0
2023-05-25,6,0.0
2023-05-25,7,1084238.6
2023-05-25,8,976721.3
2023-05-25,9,831294.4
2023-05-25,10,733091.1
2023-05-25,11,750106.0
2023-05-25,12,676132.56
2023-05-25,13,570851.56
2023-05-25,14,423311.34
2023-05-25,15,286648.9
2023-05-25,16,112692.375
2023-05-25,17,0.0
2023-05-25,18,0.0
2023-05-25,19,0.0
2023-05-25,20,0.0
2023-05-25,21,0.0
2023-05-25,22,0.0
2023-05-25,23,0.0
2023-05-26,0,0.0
2023-05-26,1,0.0
2023-05-26,2,0.0
2023-05-26,3,0.0
2023-05-26,4,0.0
