pwr_idx,date,time,pwr_amount,plant_idx,pwr_memo
595,2020-01-27,3,90910,1,
596,2020-01-27,4,26980,1,
597,2020-01-27,5,3120,1,
598,2020-01-27,6,40,1,
599,2020-01-27,7,1490,1,
600,2020-01-27,8,930,1,
601,2020-01-27,9,0,1,
602,2020-01-27,10,0,1,
603,2020-01-27,11,0,1,
604,2020-01-27,12,0,1,
605,2020-01-27,13,0,1,
606,2020-01-27,14,0,1,
607,2020-01-27,15,1930,1,
608,2020-01-27,16,11870,1,
609,2020-01-27,17,22600,1,
610,2020-01-27,18,27070,1,
611,2020-01-27,19,36090,1,
612,2020-01-27,20,49620,1,
613,2020-01-27,21,43190,1,
614,2020-01-27,22,37990,1,
615,2020-01-27,23,46300,1,
616,2020-01-28,1,40180,1,
617,2020-01-28,2,10170,1,
618,2020-01-28,3,2730,1,
619,2020-01-28,4,200,1,
620,2020-01-28,5,10,1,
621,2020-01-28,6,0,1,
622,2020-01-28,7,400,1,
623,2020-01-28,8,0,1,
624,2020-01-28,9,0,1,
625,2020-01-28,10,0,1,
626,2020-01-28,11,0,1,
627,2020-01-28,12,0,1,
628,2020-01-28,13,0,1,
629,2020-01-28,14,170,1,
630,2020-01-28,15,21000,1,
631,2020-01-28,16,78950,1,
632,2020-01-28,17,120540,1,
633,2020-01-28,18,177520,1,
634,2020-01-28,19,242240,1,
635,2020-01-28,20,266330,1,
636,2020-01-28,21,232290,1,
637,2020-01-28,22,194360,1,
638,2020-01-28,23,147510,1,
639,2020-01-29,1,107240,1,
640,2020-01-29,2,130670,1,
641,2020-01-29,3,125680,1,
642,2020-01-29,4,62810,1,
643,2020-01-29,5,10090,1,
644,2020-01-29,6,780,1,
645,2020-01-29,7,1490,1,
646,2020-01-29,8,1500,1,
647,2020-01-29,9,680,1,
648,2020-01-29,10,0,1,
649,2020-01-29,11,0,1,
650,2020-01-29,12,0,1,
651,2020-01-29,13,0,1,
652,2020-01-29,14,360,1,
653,2020-01-29,15,25160,1,
654,2020-01-29,16,63580,1,
655,2020-01-29,17,77390,1,
656,2020-01-29,18,118710,1,
657,2020-01-29,19,163970,1,
658,2020-01-29,20,207900,1,
659,2020-01-29,21,130590,1,
660,2020-01-29,22,78680,1,
661,2020-01-29,23,44460,1,
662,2020-01-30,1,82330,1,
663,2020-01-30,2,93510,1,
664,2020-01-30,3,45030,1,
665,2020-01-30,4,8390,1,
666,2020-01-30,5,1360,1,
667,2020-01-30,6,760,1,
668,2020-01-30,7,1480,1,
669,2020-01-30,8,250,1,
670,2020-01-30,9,0,1,
671,2020-01-30,10,0,1,
672,2020-01-30,11,0,1,
673,2020-01-30,12,0,1,
